task,instruction_type,W_pass,W_a_reason,h,n_cells,n_formula,sub_recalc_vs_raw,H_sub,H_off,H_off_authentic,label_pro,label_flash,label_pro_AA,p_A1,n_A1,p_A1p,n_A1p,p_A2,n_A2,p_A3,n_A3,p_A4,n_A4,p_A5,n_A5,p_A6,n_A6,p_A7,n_A7,p_A8,n_A8,A1_as_E_sub,A1_as_E_c12,A1_as_E_off,A1_as_E_all
59734,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
82-30,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
7665,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
59884,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
41601,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
388-47,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
191-40,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
359-21,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
177-6,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
147-48,,,,,,,,restate,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
38823,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
56378,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
36097,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
42930,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
55060,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
120-24,,,,,,,,restate,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
54242,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
40478,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
45738,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
41589,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
54144,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
59196,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
31915,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
22-47,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
82-38,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
