consumer,zero,edge-low,band,edge-high,saturated
Pro p16,"0.033 [0.000, 0.100]","0.133 [0.033, 0.267]","0.200 [0.067, 0.333]","0.267 [0.133, 0.433]","0.367 [0.200, 0.533]"
Flash p8,"0.000 [0.000, 0.000]","0.033 [0.000, 0.100]","0.200 [0.067, 0.367]","0.167 [0.033, 0.300]","0.600 [0.433, 0.767]"
